order_id,order_date,menu_item_name,menu_item_category,menu_item_price,menu_item_size,menu_item_quantity,customer_name,delivery,delivery_address
QK51FPKH1D,2024-01-13,Crazy Bread,Sides,4.99,Regular,6,Nancy Moore,Yes,"1779 Eastern Pkwy, Brooklyn, NY"
5UZBIKCIDK,2024-07-02,ExtraMostBestest Cheese,Pizza,10.49,Large,3,Nancy Anderson,No,
41IBLJH75L,2024-07-05,Crazy Bread,Sides,4.99,Regular,2,Ashley Williams,Yes,"4474 Utica Ave, Brooklyn, NY"
4FFYVNVQJT,2024-07-21,Crazy Bread,Sides,4.99,Regular,7,William Jackson,Yes,"9297 Court St, Brooklyn, NY"
4SHNF877VR,2024-12-14,Mountain Dew 2 Liter,Beverage,3.29,2L,7,David Brown,Yes,
871YZOYN6Q,2024-07-04,Classic Pepperoni Pizza,Pizza,9.49,Large,3,John Thomas,Yes,"9395 Atlantic Ave, Brooklyn, NY"
UR23GDPPQ0,2024-02-02,ExtraMostBestest Pepperoni,Pizza,10.49,Large,3,Linda Smith,Yes,"3870 Ocean Pkwy, Brooklyn, NY"
5TB94874FR,2024-11-26,Crazy Bread Combo,Sides,5.99,Regular,1,Linda Miller,Yes,"5659 Atlantic Ave, Brooklyn, NY"
HC0CLBR7TC,2024-07-24,Classic Pepperoni Pizza,Pizza,9.49,Large,1,Ashley Anderson,Yes,"6496 Church Ave, Brooklyn, NY"
HZIOYKL1CQ,2024-04-05,Deep Dish Pepperoni,Pizza,11.99,Regular,1,Patricia Jackson,Yes,"3953 Coney Island Ave, Brooklyn, NY"
7D5J60FKHM,2024-02-21,Aquafina Water,Beverage,1.99,20oz,1,Donald Williams,Yes,"2270 Kings Hwy, Brooklyn, NY"
AC56T4UFEL,2024-05-15,Crazy Bread Combo,Sides,5.99,Regular,4,Sandra Johnson,No,
OG72OY0IFZ,2024-01-21,2 Liter Diet Pepsi,Beverage,3.29,2L,6,Donald Wilson,Yes,"5894 Court St, Brooklyn, NY"
58KXO9T7E8,2024-01-20,ExtraMostBestest Cheese,Pizza,10.49,Large,7,Joseph Lopez,No,
0HP87WXE6S,2024-05-15,Classic Pepperoni Pizza,Pizza,9.49,Large,1,Betty Hernandez,Yes,"5763 Utica Ave, Brooklyn, NY"
PHR62GDSWM,2024-06-16,Crazy Bread Combo,Sides,5.99,Regular,8,Nancy Garcia,Yes,"6311 Eastern Pkwy, Brooklyn, NY"
NOFY6452H2,2024-04-30,Buffalo Wings,Wings,9.49,8pc,3,Robert Smith,No,
6P6QF5Q14J,2024-08-25,Crazy Bread Combo,Sides,5.99,Regular,7,Patricia Anderson,No,
OHP6VZ41NA,2024-09-05,Caesar Wings,Wings,8.99,8pc,2,William Hernandez,Yes,"4781 Nostrand Ave, Brooklyn, NY"
T6VXDP5GJL,2024-07-18,ExtraMostBestest Cheese,Pizza,10.49,Large,4,Jessica Smith,Yes,"4571 Coney Island Ave, Brooklyn, NY"
